#,Maq,Algoritmo,N,t (pico),t sin norm(pico)
1,1,MergeSort,4096,7.299.072.266,2989700000.00
2,1,SelectionSort,4096,4.066.625.977,16656900000.00
3,1,MergeSort,8192,4.835.693.359,3961400000.00
4,1,SelectionSort,8192,7.954.199.219,65160800000.00
5,1,MergeSort,16384,4.742.614.746,7770300000.00
6,1,SelectionSort,16384,16051818.85,262993000000.00
7,1,MergeSort,4096,4.871.826.172,1995500000.00
8,1,SelectionSort,4096,3.804.296.875,15582400000.00
9,1,MergeSort,8192,3.465.087.891,2838600000.00
10,1,SelectionSort,8192,8001232.91,65546100000.00
11,1,MergeSort,16384,3.436.889.648,5631000000.00
12,1,SelectionSort,16384,15949212.65,261311900000.00
13,1,MergeSort,4096,2.495.361.328,1022100000.00
14,1,SelectionSort,4096,4.010.644.531,16427600000.00
15,1,MergeSort,8192,2.434.936.523,1994700000.00
16,1,SelectionSort,8192,7.992.858.887,65477500000.00
17,1,MergeSort,16384,3.043.518.066,4986500000.00
18,1,SelectionSort,16384,15878204.35,260148500000.00
19,1,MergeSort,4096,2.434.570.313,997200000.00
20,1,SelectionSort,4096,3.902.734.375,15985600000.00
21,1,MergeSort,8192,365.222.168,2991900000.00
22,1,SelectionSort,8192,7888159.18,64619800000.00
23,1,MergeSort,16384,3.887.939.453,6370000000.00
24,1,SelectionSort,16384,15809942.63,259030100000.00
25,1,MergeSort,4096,4.875.976.563,1997200000.00
26,1,SelectionSort,4096,3.841.748.047,15735800000.00
27,1,MergeSort,8192,3.617.431.641,2963400000.00
28,1,SelectionSort,8192,7.939.477.539,65040200000.00
29,1,MergeSort,16384,3.652.587.891,5984400000.00
30,1,SelectionSort,16384,15860223.39,259853900000.00
31,1,MergeSort,4096,2.437.744.141,998500000.00
32,1,SelectionSort,4096,4.062.915.039,16641700000.00
33,1,MergeSort,8192,2.437.866.211,1997100000.00
34,1,SelectionSort,8192,7.813.562.012,64008700000.00
35,1,MergeSort,16384,3.662.719.727,6001000000.00
36,1,SelectionSort,16384,15743560.79,257942500000.00
37,1,MergeSort,4096,2.444.335.938,1001200000.00
38,1,SelectionSort,4096,3.841.113.281,15733200000.00
39,1,MergeSort,8192,3.653.198.242,2992700000.00
40,1,SelectionSort,8192,7.887.438.965,64613900000.00
41,1,MergeSort,16384,3.040.771.484,4982000000.00
42,1,SelectionSort,16384,15903973.39,260570700000.00
43,1,MergeSort,4096,2.428.710.938,994800000.00
44,1,SelectionSort,4096,4.015.551.758,16447700000.00
45,1,MergeSort,8192,3.652.587.891,2992200000.00
46,1,SelectionSort,8192,7.901.647.949,64730300000.00
47,1,MergeSort,16384,3.027.160.645,4959700000.00
48,1,SelectionSort,16384,15963354.49,261543600000.00
49,1,MergeSort,4096,4.799.072.266,1965700000.00
50,1,SelectionSort,4096,3.856.933.594,15798000000.00
51,1,MergeSort,8192,2.400.146.484,1966200000.00
52,1,SelectionSort,8192,7.916.491.699,64851900000.00
53,1,MergeSort,16384,3.043.334.961,4986200000.00
54,1,SelectionSort,16384,15725756.84,257650800000.00
55,1,MergeSort,4096,2.434.082.031,997000000.00
56,1,SelectionSort,4096,3.996.289.063,16368800000.00
57,1,MergeSort,8192,2.435.668.945,1995300000.00
58,1,SelectionSort,8192,8.090.100.098,66274100000.00
59,1,MergeSort,16384,3.043.212.891,4986000000.00
60,1,SelectionSort,16384,15743780.52,257946100000.00
61,1,MergeSort,4096,2.419.189.453,990900000.00
62,1,SelectionSort,4096,3908593.75,16009600000.00
63,1,MergeSort,8192,365.222.168,2991900000.00
64,1,SelectionSort,8192,7.789.355.469,63810400000.00
65,1,MergeSort,16384,305.456.543,5004600000.00
66,1,SelectionSort,16384,15738238.53,257855300000.00
67,1,MergeSort,4096,2.442.871.094,1000600000.00
68,1,SelectionSort,4096,3.987.866.211,16334300000.00
69,1,MergeSort,8192,2.432.006.836,1992300000.00
70,1,SelectionSort,8192,7.814.819.336,64019000000.00
71,1,MergeSort,16384,356.048.584,5833500000.00
72,1,SelectionSort,16384,15846276.86,259625400000.00
73,1,MergeSort,4096,2.508.056.641,1027300000.00
74,1,SelectionSort,4096,3.865.893.555,15834700000.00
75,1,MergeSort,8192,3.681.762.695,3016100000.00
76,1,SelectionSort,8192,7.957.910.156,65191200000.00
77,1,MergeSort,16384,3.688.049.316,6042500000.00
78,1,SelectionSort,16384,15798126.22,258836500000.00
79,1,MergeSort,4096,2.496.826.172,1022700000.00
80,1,SelectionSort,4096,4.002.758.789,16395300000.00
81,1,MergeSort,8192,2.463.745.117,2018300000.00
82,1,SelectionSort,8192,7.920.031.738,64880900000.00
83,1,MergeSort,16384,3.653.991.699,5986700000.00
84,1,SelectionSort,16384,15693200.68,257117400000.00
85,1,MergeSort,4096,2.365.966.797,969100000.00
86,1,SelectionSort,4096,3.707.226.563,15184800000.00
87,1,MergeSort,8192,3.389.282.227,2776500000.00
88,1,SelectionSort,8192,7838159.18,64210200000.00
89,1,MergeSort,16384,3.649.902.344,5980000000.00
90,1,SelectionSort,16384,15760247.8,258215900000.00
91,1,MergeSort,4096,2.410.644.531,987400000.00
92,1,SelectionSort,4096,3857031.25,15798400000.00
93,1,MergeSort,8192,2.471.801.758,2024900000.00
94,1,SelectionSort,8192,7.915.283.203,64842000000.00
95,1,MergeSort,16384,3.559.020.996,5831100000.00
96,1,SelectionSort,16384,15807849.12,258995800000.00
97,1,MergeSort,4096,1.975.830.078,809300000.00
98,1,SelectionSort,4096,3.992.358.398,16352700000.00
99,1,MergeSort,8192,2.468.505.859,2022200000.00
